AQS_Site_ID,COUNTYNS,pct_below_median
470370040,01639737,0.11538461538461539
250270023,00606940,0.11813186813186813
271230868,00659507,0.11813186813186813
271377550,00662850,0.11813186813186813
530530029,01529159,0.11813186813186813
010550010,00161553,0.12362637362637363
390130006,01065575,0.12362637362637363
470930028,01639761,0.12362637362637363
371730002,01008588,0.12396694214876033
390670005,01074046,0.12637362637362637
530611007,01529222,0.12637362637362637
540511002,01717539,0.12637362637362637
060195001,00277274,0.12912087912087913
390170020,01074021,0.12912087912087913
390170022,01074021,0.12912087912087913
540391005,01550026,0.12912087912087913
060730001,00277301,0.13186813186813187
301110087,01719558,0.13186813186813187
390610014,01074043,0.13186813186813187
080310028,00198131,0.1346153846153846
180190010,00450340,0.1346153846153846
481410037,01383855,0.1346153846153846
060310004,00277280,0.13736263736263737
060374008,00277283,0.13736263736263737
120866001,00295755,0.13736263736263737
171191007,00424258,0.13736263736263737
220170008,00558458,0.13736263736263737
420270100,01214720,0.1401098901098901
250130018,00606933,0.14285714285714285
060290014,02054176,0.14560439560439561
060850005,00277307,0.14560439560439561
350010023,01702363,0.14560439560439561
410670005,01155137,0.14560439560439561
420030002,01213657,0.14835164835164835
010732059,00161562,0.1510989010989011
261630015,01623022,0.1510989010989011
090092123,00212798,0.15384615384615385
051390006,00069903,0.1565934065934066
160590004,00399754,0.1565934065934066
180970087,00450371,0.1565934065934066
461030020,01266995,0.1565934065934066
011011002,00161577,0.15934065934065933
160790017,01702379,0.15934065934065933
400270049,01101801,0.15934065934065933
470650031,01639749,0.15934065934065933
500030004,01461758,0.15934065934065933
060371302,00277283,0.1620879120879121
080010008,00198116,0.1620879120879121
080690009,00198150,0.1620879120879121
132450091,00358024,0.1620879120879121
340030003,00882271,0.1620879120879121
340310005,00882232,0.1620879120879121
420810419,01213677,0.1620879120879121
530330080,01531933,0.1620879120879121
530370002,01531926,0.1620879120879121
560331003,01605081,0.1620879120879121
391510017,01065576,0.16483516483516483
460290002,01265791,0.16483516483516483
490354002,01448031,0.16483516483516483
320031501,00863600,0.16758241758241757
390350045,01074030,0.16758241758241757
390610042,01074043,0.16758241758241757
510590031,01480119,0.16758241758241757
530470013,01531928,0.16758241758241757
211990003,00516946,0.17032967032967034
230030014,00581287,0.17032967032967034
010890014,00161570,0.17307692307692307
050070002,00069896,0.17307692307692307
060195025,00277274,0.17307692307692307
060311004,00277280,0.17307692307692307
482011035,01383886,0.17307692307692307
060950004,00277312,0.17582417582417584
261630100,01623022,0.17582417582417584
541071002,01560558,0.17582417582417584
250035001,00606928,0.17857142857142858
390170015,01074021,0.17857142857142858
051430005,00069905,0.1813186813186813
090011123,00212794,0.1813186813186813
420031376,01213657,0.1813186813186813
461031001,01266995,0.1813186813186813
390490034,01074037,0.18406593406593408
420031301,01213657,0.18406593406593408
060010013,01675839,0.18681318681318682
201770013,00485051,0.18681318681318682
330150014,00873181,0.18681318681318682
484531068,01384012,0.18681318681318682
540330003,01718426,0.18681318681318682
211110075,00516902,0.18956043956043955
440070026,01219781,0.18956043956043955
060392010,00277284,0.19230769230769232
060731016,00277301,0.19230769230769232
090110124,00212799,0.19230769230769232
131270006,01671513,0.19230769230769232
390490039,01074037,0.19230769230769232
420130801,01213659,0.19230769230769232
050310005,00066847,0.19505494505494506
090030025,00212338,0.19505494505494506
130210007,01672039,0.19505494505494506
400430860,01101809,0.19505494505494506
518100008,01498559,0.19505494505494506
060652002,00277297,0.1978021978021978
171150013,00424256,0.1978021978021978
220870007,01629542,0.1978021978021978
391450013,01074085,0.1978021978021978
540390020,01550026,0.1978021978021978
011250004,00161588,0.20054945054945056
120860033,00295755,0.20054945054945056
171630010,01784987,0.20054945054945056
370670030,01008552,0.20054945054945056
131390003,01686953,0.2032967032967033
410390060,01135855,0.2032967032967033
050030005,00063756,0.20604395604395603
060472510,00277288,0.20604395604395603
060731022,00277301,0.20604395604395603
180970083,00450371,0.20604395604395603
250170010,00606935,0.20604395604395603
410392013,01135855,0.20604395604395603
060830011,00277306,0.2087912087912088
410390059,01135855,0.2087912087912088
040031005,00025442,0.21153846153846154
040210001,00025447,0.21153846153846154
230190002,00581295,0.21153846153846154
340390004,00882235,0.21153846153846154
060890004,01682610,0.21428571428571427
350130022,00929109,0.21703296703296704
390230005,01074024,0.21703296703296704
132950002,00354216,0.22252747252747251
211930003,00516943,0.22252747252747251
261630098,01623022,0.22252747252747251
420150011,01213660,0.22252747252747251
481410044,01383855,0.22252747252747251
